"Name","CATMAID.annotation","desmo","desmo_tonofibrils","tonofibrils","other","total"
"akrotroch","celltype_non_neuronal1",1,4,3,0,8
"crescentcell","celltype_non_neuronal2",0,0,0,1,1
"prototroch","celltype_non_neuronal3",0,0,0,23,23
"nuchal","celltype_non_neuronal4",1,3,0,2,6
"metatroch","celltype_non_neuronal5",0,5,3,0,8
"paratroch","celltype_non_neuronal6",12,22,0,0,34
"spinGland","celltype_non_neuronal7",0,0,0,4,4
"covercell","celltype_non_neuronal8",4,1,0,11,16
"ciliatedGland","celltype_non_neuronal9",1,1,0,22,24
"pigment_cell_eyespot","celltype_non_neuronal10",0,0,0,2,2
"pigment_cell_AE","celltype_non_neuronal11",2,0,0,10,12
"pigment_cell_parapodial","celltype_non_neuronal12",1,0,0,9,10
"macrophage-like","celltype_non_neuronal13",0,0,0,13,13
"yolk cover cells","celltype_non_neuronal14",0,0,0,39,39
"flat glia","celltype_non_neuronal15",5,1,0,15,21
"radial-glia-like","celltype_non_neuronal16",1,27,14,4,46
"MVGland","celltype_non_neuronal17",0,0,0,6,6
"microvillarCell","celltype_non_neuronal18",0,0,2,12,14
"protonephridium","celltype_non_neuronal19",1,0,0,3,4
"nephridium","celltype_non_neuronal20",0,0,0,14,14
"nephridiumTip","celltype_non_neuronal21",0,0,0,2,2
"chaeta","celltype_non_neuronal22",100,6,0,0,106
"acicula","celltype_non_neuronal23",8,4,0,0,12
"circumacicular","celltype_non_neuronal24",19,35,0,0,54
"hemichaetal","celltype_non_neuronal25",147,21,1,13,182
"ER_circumchaetal","celltype_non_neuronal26",39,6,0,2,47
"noER_circumchaetal","celltype_non_neuronal27",32,5,1,59,97
"EC_circumchaetal","celltype_non_neuronal28",55,35,1,15,106
"HeadGland","celltype_non_neuronal29",0,0,0,5,5
"InterparaGland","celltype_non_neuronal30",0,0,0,4,4
"spinMicroGland","celltype_non_neuronal31",0,0,1,18,19
"EC","celltype_non_neuronal32",10,26,4,18,58
"vacuolar_cell_head","celltype_non_neuronal33",0,2,0,1,3
"glia pigmented","celltype_non_neuronal34",0,3,2,0,5
"pygidial_pigment_cell ","celltype_non_neuronal35",9,1,0,16,26
"coelothelium","celltype_non_neuronal36",16,0,1,85,102
"MUSph","celltype_non_neuronal79",18,0,0,32,50
"pigment_CB","celltype_non_neuronal90",241,307,54,515,1117
"yolk","celltype_non_neuronal91",0,0,0,5,5
"gut","celltype_non_neuronal92",2,0,0,22,24
"somatic muscles","celltype_non_neuronal37-78,80-89",790,0,0,0,790
"neurons","celltype1-200",3,0,2,962,967
